Store_ID,SKU,Batch_ID,Arrival_Date,Sell_Through_Percent,Days_Since_Arrival,Temperature,Humidity,Category,Shelf_Life,Spoiled,SKU_Code,Category_Code,Marked_Down,Spoilage_Probability
1006,Mangoes,B1409,2025-06-23,0.77,5,29.4,74,Fruit,7,0,6,0,False,2.3043442e-05
1002,Broccoli,B3286,2025-06-26,0.93,2,29.1,61,Leafy,6,0,3,1,False,1.5773037e-05
1006,Beets,B2424,2025-06-18,0.94,10,33.1,57,Root,10,0,2,2,False,1.5769458e-05
1004,Spinach,B1488,2025-06-26,0.78,2,28.1,58,Leafy,5,0,7,1,False,1.893291e-05
1002,Broccoli,B9279,2025-06-27,0.74,1,22.3,39,Leafy,6,0,3,1,False,1.5532236e-05
1005,Broccoli,B9928,2025-06-21,0.24,7,25.9,69,Leafy,6,0,3,1,False,0.00083607994
1002,Lettuce,B5557,2025-06-21,0.21,7,24.4,86,Leafy,4,0,5,1,False,0.0021400333
1001,Apples,B7924,2025-06-22,0.67,6,30.3,43,Fruit,10,0,0,0,False,1.4703085e-05
1003,Apples,B4527,2025-06-15,0.25,13,30.4,47,Fruit,10,0,0,0,False,0.0014271927
1003,Mangoes,B2519,2025-06-21,0.76,7,27.6,60,Fruit,7,0,6,0,False,6.829002e-05
1001,Bananas,B6635,2025-06-23,0.61,5,37.4,64,Fruit,5,0,1,0,False,0.0005529475
1001,Lettuce,B9785,2025-06-27,0.54,1,33.3,46,Leafy,4,0,5,1,False,0.000109408276
1004,Mangoes,B5803,2025-06-18,0.32,10,22.2,45,Fruit,7,0,6,0,False,0.00016127415
1003,Broccoli,B2139,2025-06-27,0.73,1,33.0,67,Leafy,6,0,3,1,False,1.7062637e-05
1006,Broccoli,B5741,2025-06-26,0.68,2,28.8,42,Leafy,6,0,3,1,False,1.5532236e-05
1002,Mangoes,B7227,2025-06-23,0.59,5,28.2,80,Fruit,7,0,6,0,False,2.4645036e-05
1004,Bananas,B3664,2025-06-22,0.33,6,22.9,69,Fruit,5,0,1,0,False,0.0006093372
