Store_ID,SKU,Batch_ID,Arrival_Date,Sell_Through_Percent,Days_Since_Arrival,Temperature,Humidity,Category,Shelf_Life,Spoiled
1006,Mangoes,B1409,23-06-2025,0.77,5,29.4,74,Fruit,7,0
1002,Broccoli,B3286,26-06-2025,0.93,2,29.1,61,Leafy,6,0
1006,Beets,B2424,18-06-2025,0.94,10,33.1,57,Root,10,0
1004,Spinach,B1488,26-06-2025,0.78,2,28.1,58,Leafy,5,0
1002,Broccoli,B9279,27-06-2025,0.74,1,22.3,39,Leafy,6,0
1005,Broccoli,B9928,21-06-2025,0.24,7,25.9,69,Leafy,6,0
1002,Lettuce,B5557,21-06-2025,0.21,7,24.4,86,Leafy,4,0
1001,Apples,B7924,22-06-2025,0.67,6,30.3,43,Fruit,10,0
1003,Apples,B4527,15-06-2025,0.25,13,30.4,47,Fruit,10,0
1003,Mangoes,B2519,21-06-2025,0.76,7,27.6,60,Fruit,7,0
1001,Bananas,B6635,23-06-2025,0.61,5,37.4,64,Fruit,5,0
1001,Lettuce,B9785,27-06-2025,0.54,1,33.3,46,Leafy,4,0
1004,Mangoes,B5803,18-06-2025,0.32,10,22.2,45,Fruit,7,0
1003,Broccoli,B2139,27-06-2025,0.73,1,33,67,Leafy,6,0
1006,Broccoli,B5741,26-06-2025,0.68,2,28.8,42,Leafy,6,0
1002,Mangoes,B7227,23-06-2025,0.59,5,28.2,80,Fruit,7,0
1004,Bananas,B3664,22-06-2025,0.33,6,22.9,69,Fruit,5,0
1003,Broccoli,B5374,26-06-2025,0.64,2,27.3,74,Leafy,6,0
1005,Apples,B9751,16-06-2025,0.4,12,33.7,52,Fruit,10,0
1002,Apples,B8573,21-06-2025,0.65,7,31.3,79,Fruit,10,0
1003,Beets,B4598,17-06-2025,0.25,11,29.3,48,Root,10,0
1003,Spinach,B4752,27-06-2025,0.52,1,33.3,85,Leafy,5,0
1003,Tomatoes,B5386,26-06-2025,0.69,2,34,70,Fruit,6,0
1002,Bananas,B4483,20-06-2025,0.24,8,31.4,88,Fruit,5,1
1004,Lettuce,B3340,25-06-2025,0.69,3,36.3,30,Leafy,4,0
1002,Broccoli,B9830,23-06-2025,0.82,5,30.3,60,Leafy,6,0
1006,Tomatoes,B7543,22-06-2025,0.71,6,22,61,Fruit,6,0
1002,Apples,B9348,20-06-2025,0.75,8,35.9,57,Fruit,10,0
1001,Spinach,B2796,25-06-2025,0.58,3,28,78,Leafy,5,0
1006,Apples,B7916,18-06-2025,0.75,10,27.9,72,Fruit,10,0
1001,Tomatoes,B7252,20-06-2025,0.31,8,33.9,54,Fruit,6,0
1005,Carrots,B1188,24-06-2025,0.65,4,28.4,43,Root,14,0
1006,Beets,B5371,15-06-2025,0.33,13,31,65,Root,10,1
1006,Bananas,B2827,23-06-2025,0.66,5,24.3,58,Fruit,5,0
1004,Apples,B8433,27-06-2025,0.65,1,26.8,62,Fruit,10,0
1006,Carrots,B9201,22-06-2025,0.76,6,37.5,67,Root,14,0
1005,Mangoes,B5889,19-06-2025,0.33,9,29.7,36,Fruit,7,0
1005,Broccoli,B3504,22-06-2025,0.7,6,30.2,100,Leafy,6,0
1002,Beets,B9689,27-06-2025,0.67,1,31.2,64,Root,10,0
1005,Bananas,B9005,27-06-2025,0.52,1,34.6,76,Fruit,5,0
1001,Bananas,B6038,24-06-2025,0.82,4,26.4,86,Fruit,5,0
1001,Broccoli,B2290,26-06-2025,0.49,2,32.3,97,Leafy,6,0
1006,Lettuce,B2133,21-06-2025,0.2,7,27.7,66,Leafy,4,0
1005,Apples,B3103,17-06-2025,0.25,11,23.8,66,Fruit,10,0
1004,Beets,B3705,23-06-2025,0.54,5,31.9,51,Root,10,0
1005,Tomatoes,B4470,19-06-2025,0.45,9,26.9,60,Fruit,6,0
1006,Broccoli,B6107,21-06-2025,0.38,7,25.1,68,Leafy,6,0
1006,Bananas,B8177,20-06-2025,0.43,8,23.6,67,Fruit,5,0
1001,Broccoli,B4681,26-06-2025,0.74,2,33.1,46,Leafy,6,0
1003,Spinach,B4770,24-06-2025,0.5,4,32.1,69,Leafy,5,0
1001,Mangoes,B1964,24-06-2025,0.74,4,31.4,54,Fruit,7,0
1001,Spinach,B6413,26-06-2025,0.73,2,31.2,54,Leafy,5,0
1005,Broccoli,B5562,20-06-2025,0.49,8,31.9,47,Leafy,6,0
1002,Beets,B3167,16-06-2025,0.37,12,26.1,76,Root,10,0
1005,Lettuce,B4981,21-06-2025,0.42,7,26.7,79,Leafy,4,0
1004,Tomatoes,B4119,26-06-2025,0.76,2,33.3,93,Fruit,6,0
1001,Tomatoes,B6804,21-06-2025,0.28,7,27,51,Fruit,6,0
1004,Lettuce,B1887,22-06-2025,0.22,6,29.7,70,Leafy,4,0
1006,Mangoes,B1993,21-06-2025,0.74,7,33.3,65,Fruit,7,0
1006,Bananas,B2790,24-06-2025,0.92,4,28.9,100,Fruit,5,0
1002,Broccoli,B9786,20-06-2025,0.36,8,26.6,48,Leafy,6,0
1002,Tomatoes,B4006,23-06-2025,0.77,5,29.1,75,Fruit,6,0
1004,Broccoli,B2235,20-06-2025,0.35,8,29.7,52,Leafy,6,0
1005,Mangoes,B1828,19-06-2025,0.15,9,28.2,77,Fruit,7,0
1001,Mangoes,B4872,25-06-2025,0.73,3,25,67,Fruit,7,0
1004,Lettuce,B8886,26-06-2025,0.76,2,26.5,67,Leafy,4,0
1004,Spinach,B3697,21-06-2025,0.31,7,25.4,70,Leafy,5,0
1001,Tomatoes,B5345,20-06-2025,0.36,8,34.3,80,Fruit,6,1
1003,Tomatoes,B8973,25-06-2025,0.49,3,26.2,72,Fruit,6,0
1002,Carrots,B4566,26-06-2025,0.78,2,32.1,100,Root,14,0
1005,Beets,B1998,16-06-2025,0.36,12,34.5,79,Root,10,1
1003,Spinach,B1821,20-06-2025,0.37,8,28.7,76,Leafy,5,0
1005,Beets,B3579,27-06-2025,0.58,1,29.1,57,Root,10,0
1005,Mangoes,B4044,26-06-2025,0.71,2,39.3,36,Fruit,7,0
1005,Mangoes,B4853,21-06-2025,0.8,7,23.5,57,Fruit,7,0
1001,Broccoli,B1651,26-06-2025,0.86,2,30.3,48,Leafy,6,0
1004,Beets,B6183,23-06-2025,0.59,5,32.7,54,Root,10,0
1002,Bananas,B4910,23-06-2025,0.73,5,30.2,55,Fruit,5,0
1004,Apples,B5915,20-06-2025,0.99,8,32.5,34,Fruit,10,0
1003,Mangoes,B1152,20-06-2025,0.32,8,27.4,77,Fruit,7,0
1005,Mangoes,B2200,19-06-2025,0.22,9,29.5,72,Fruit,7,0
1002,Beets,B5345,25-06-2025,0.83,3,25.2,59,Root,10,0
1003,Mangoes,B5002,22-06-2025,0.63,6,27.4,91,Fruit,7,0
1003,Apples,B8179,19-06-2025,0.76,9,25,78,Fruit,10,0
1006,Carrots,B9666,27-06-2025,0.99,1,34.1,42,Root,14,0
1006,Beets,B5905,17-06-2025,0.25,11,35.1,54,Root,10,0
1001,Apples,B5333,26-06-2025,0.77,2,33.1,51,Fruit,10,0
1001,Beets,B3546,23-06-2025,0.69,5,17,49,Root,10,0
1003,Broccoli,B6617,24-06-2025,0.66,4,25,89,Leafy,6,0
1006,Carrots,B9280,12-06-2025,0.16,16,28.2,66,Root,14,0
1003,Spinach,B2512,21-06-2025,0.44,7,24.3,82,Leafy,5,0
1003,Spinach,B1058,22-06-2025,0.3,6,26.1,71,Leafy,5,0
1002,Carrots,B3647,13-06-2025,0.32,15,27.6,66,Root,14,0
1005,Tomatoes,B1158,26-06-2025,0.64,2,30.5,74,Fruit,6,0
1001,Apples,B9938,27-06-2025,0.94,1,25,96,Fruit,10,0
1003,Beets,B3426,21-06-2025,0.41,7,29.4,73,Root,10,0
1002,Spinach,B6050,22-06-2025,0.33,6,27.5,61,Leafy,5,0
1001,Bananas,B4441,24-06-2025,0.63,4,27.6,77,Fruit,5,0
1006,Mangoes,B6794,19-06-2025,0.34,9,27.2,78,Fruit,7,0
1004,Apples,B4878,25-06-2025,0.75,3,33.3,74,Fruit,10,0
1002,Tomatoes,B1406,25-06-2025,0.58,3,27.8,76,Fruit,6,0
1006,Bananas,B7745,24-06-2025,0.79,4,29.9,66,Fruit,5,0
1003,Apples,B2771,21-06-2025,0.89,7,27.6,73,Fruit,10,0
1001,Lettuce,B4644,26-06-2025,0.67,2,29.1,81,Leafy,4,0
1004,Bananas,B6000,24-06-2025,0.82,4,33.3,84,Fruit,5,0
1002,Spinach,B4164,21-06-2025,0.3,7,32.7,60,Leafy,5,0
1003,Carrots,B2137,19-06-2025,0.75,9,29.5,66,Root,14,0
1003,Beets,B7548,17-06-2025,0.36,11,26.7,96,Root,10,0
1005,Bananas,B1452,26-06-2025,0.55,2,25.1,82,Fruit,5,0
1003,Apples,B5349,27-06-2025,0.82,1,32.5,74,Fruit,10,0
1001,Tomatoes,B6663,22-06-2025,0.7,6,26.4,66,Fruit,6,0
1004,Beets,B2894,21-06-2025,0.6,7,33.9,62,Root,10,0
1005,Broccoli,B5173,27-06-2025,0.58,1,28.7,71,Leafy,6,0
1006,Tomatoes,B1027,19-06-2025,0.24,9,26.7,68,Fruit,6,0
1005,Broccoli,B6967,21-06-2025,0.32,7,28,57,Leafy,6,0
1001,Bananas,B6143,26-06-2025,0.73,2,24.2,43,Fruit,5,0
1006,Carrots,B9308,18-06-2025,0.59,10,29.1,69,Root,14,0
1006,Tomatoes,B6344,21-06-2025,0.45,7,33.4,62,Fruit,6,1
1006,Carrots,B3085,21-06-2025,0.7,7,26,64,Root,14,0
1004,Tomatoes,B3851,23-06-2025,0.66,5,31.3,52,Fruit,6,0
1004,Beets,B1006,23-06-2025,0.78,5,36.1,63,Root,10,0
1003,Broccoli,B8043,22-06-2025,0.76,6,32.8,58,Leafy,6,0
1004,Lettuce,B8244,22-06-2025,0.32,6,30.1,66,Leafy,4,1
1002,Beets,B8752,15-06-2025,0.22,13,30.1,72,Root,10,1
1006,Apples,B2389,23-06-2025,0.92,5,33.8,97,Fruit,10,0
1005,Bananas,B2530,24-06-2025,0.58,4,33.5,67,Fruit,5,0
1006,Carrots,B4680,21-06-2025,0.99,7,26.8,52,Root,14,0
1002,Spinach,B1757,24-06-2025,0.61,4,21.5,57,Leafy,5,0
1004,Mangoes,B8461,21-06-2025,0.59,7,30.6,70,Fruit,7,0
1006,Broccoli,B7291,20-06-2025,0.49,8,33.8,56,Leafy,6,0
1004,Broccoli,B3417,27-06-2025,0.57,1,32,45,Leafy,6,0
1001,Tomatoes,B4585,25-06-2025,0.97,3,34.7,57,Fruit,6,0
1006,Beets,B8611,27-06-2025,0.44,1,35.4,63,Root,10,0
1005,Broccoli,B2988,20-06-2025,0.42,8,23.6,56,Leafy,6,0
1002,Lettuce,B9702,23-06-2025,0.3,5,30.2,58,Leafy,4,0
1005,Bananas,B8251,21-06-2025,0.36,7,25.7,62,Fruit,5,0
1005,Lettuce,B3607,22-06-2025,0.31,6,32.1,75,Leafy,4,1
1004,Lettuce,B5246,21-06-2025,0.19,7,23.9,84,Leafy,4,0
1002,Carrots,B9540,12-06-2025,0.33,16,27,88,Root,14,0
1006,Broccoli,B5499,20-06-2025,0.31,8,34.7,66,Leafy,6,1
1001,Carrots,B4841,19-06-2025,0.99,9,37,61,Root,14,0
1003,Bananas,B9849,26-06-2025,0.85,2,32.6,85,Fruit,5,0
1002,Apples,B4788,21-06-2025,0.56,7,32.7,80,Fruit,10,0
1006,Apples,B4505,26-06-2025,0.44,2,25.3,34,Fruit,10,0
1004,Tomatoes,B6421,19-06-2025,0.27,9,32.9,87,Fruit,6,1
1004,Tomatoes,B2020,24-06-2025,0.71,4,36.5,44,Fruit,6,0
1004,Tomatoes,B1320,21-06-2025,0.13,7,29.8,70,Fruit,6,0
1004,Spinach,B6763,23-06-2025,0.7,5,21.7,63,Leafy,5,0
1004,Tomatoes,B9818,19-06-2025,0.17,9,32.7,70,Fruit,6,1
1005,Broccoli,B8999,24-06-2025,0.56,4,27.9,49,Leafy,6,0
1003,Tomatoes,B8956,27-06-2025,0.69,1,33.8,50,Fruit,6,0
1004,Bananas,B7624,25-06-2025,0.78,3,27.9,53,Fruit,5,0
1004,Apples,B9751,27-06-2025,0.68,1,25.9,56,Fruit,10,0
1004,Spinach,B2375,21-06-2025,0.18,7,37.9,65,Leafy,5,1
1002,Lettuce,B3977,27-06-2025,0.6,1,30.9,63,Leafy,4,0
1003,Tomatoes,B6363,24-06-2025,0.67,4,32.5,76,Fruit,6,0
1004,Bananas,B6529,21-06-2025,0.25,7,27.7,60,Fruit,5,0
1003,Tomatoes,B5133,26-06-2025,0.35,2,23.9,85,Fruit,6,0
1004,Spinach,B9837,27-06-2025,0.95,1,29,73,Leafy,5,0
1003,Broccoli,B2124,27-06-2025,0.75,1,42.3,81,Leafy,6,0
1001,Broccoli,B4266,27-06-2025,0.68,1,26.2,40,Leafy,6,0
1005,Apples,B4908,25-06-2025,0.73,3,27,43,Fruit,10,0
1004,Mangoes,B4571,20-06-2025,0.24,8,25.7,90,Fruit,7,0
1006,Carrots,B7043,22-06-2025,0.83,6,30,87,Root,14,0
1005,Mangoes,B3683,23-06-2025,0.71,5,26.6,87,Fruit,7,0
1001,Spinach,B6111,21-06-2025,0.35,7,25.9,62,Leafy,5,0
1004,Broccoli,B2245,24-06-2025,0.57,4,24.5,78,Leafy,6,0
1001,Carrots,B2983,26-06-2025,0.99,2,24.4,73,Root,14,0
1003,Beets,B8018,17-06-2025,0.23,11,28.1,56,Root,10,0
1003,Mangoes,B9289,22-06-2025,0.57,6,30.2,52,Fruit,7,0
1001,Tomatoes,B9031,26-06-2025,0.74,2,29.8,61,Fruit,6,0
1004,Bananas,B8532,25-06-2025,0.56,3,27.7,76,Fruit,5,0
1004,Apples,B9548,17-06-2025,0.35,11,26.1,66,Fruit,10,0
1003,Beets,B8921,20-06-2025,0.81,8,23.3,73,Root,10,0
1004,Carrots,B6280,20-06-2025,0.6,8,32.3,53,Root,14,0
1001,Carrots,B8385,20-06-2025,0.43,8,23.5,65,Root,14,0
1004,Tomatoes,B6511,27-06-2025,0.74,1,26.4,74,Fruit,6,0
1004,Bananas,B3979,20-06-2025,0.13,8,29.7,46,Fruit,5,0
1002,Bananas,B5232,22-06-2025,0.23,6,30.2,52,Fruit,5,0
1003,Carrots,B1166,11-06-2025,0.26,17,34,56,Root,14,0
1002,Mangoes,B4954,21-06-2025,0.83,7,25.5,72,Fruit,7,0
1004,Beets,B4937,16-06-2025,0.44,12,20.1,53,Root,10,0
1004,Lettuce,B8342,21-06-2025,0.36,7,29.2,70,Leafy,4,0
1001,Mangoes,B5820,24-06-2025,0.61,4,30.3,62,Fruit,7,0
1004,Broccoli,B6016,22-06-2025,0.88,6,31,70,Leafy,6,0
1004,Beets,B9698,22-06-2025,0.64,6,28,58,Root,10,0
1004,Beets,B6419,22-06-2025,0.76,6,28.3,69,Root,10,0
1006,Lettuce,B5438,25-06-2025,0.99,3,33.5,60,Leafy,4,0
1003,Broccoli,B2976,24-06-2025,0.88,4,28.4,34,Leafy,6,0
1003,Mangoes,B9779,25-06-2025,0.55,3,22.5,59,Fruit,7,0
1002,Broccoli,B8933,23-06-2025,0.7,5,36.7,69,Leafy,6,0
1006,Beets,B5636,26-06-2025,0.67,2,33.3,31,Root,10,0
1002,Carrots,B4727,16-06-2025,0.74,12,33.1,42,Root,14,0
1002,Carrots,B1231,23-06-2025,0.87,5,31.4,58,Root,14,0
1003,Spinach,B1893,23-06-2025,0.79,5,39.1,67,Leafy,5,0
1006,Apples,B9042,26-06-2025,0.74,2,28.2,52,Fruit,10,0
1001,Carrots,B8690,12-06-2025,0.38,16,26.6,66,Root,14,0
1004,Bananas,B4020,27-06-2025,0.63,1,31.9,70,Fruit,5,0
1003,Lettuce,B2869,21-06-2025,0.4,7,28,60,Leafy,4,0
1001,Tomatoes,B9056,26-06-2025,0.55,2,28.2,70,Fruit,6,0
1005,Spinach,B3485,25-06-2025,0.81,3,26.3,78,Leafy,5,0
1005,Carrots,B2395,20-06-2025,0.9,8,31.7,93,Root,14,0
1001,Beets,B7818,18-06-2025,0.58,10,25,38,Root,10,0
1005,Broccoli,B9561,21-06-2025,0.45,7,32.6,64,Leafy,6,1
1004,Lettuce,B5871,21-06-2025,0.33,7,25.5,100,Leafy,4,0
1005,Tomatoes,B6003,27-06-2025,0.72,1,30.4,75,Fruit,6,0
1005,Mangoes,B4404,24-06-2025,0.77,4,30.9,53,Fruit,7,0
1003,Mangoes,B3573,24-06-2025,0.77,4,37.5,85,Fruit,7,0
1002,Beets,B2229,25-06-2025,0.94,3,28,50,Root,10,0
1001,Tomatoes,B8381,20-06-2025,0.29,8,30.2,81,Fruit,6,1
1003,Spinach,B4792,23-06-2025,0.45,5,36.1,62,Leafy,5,0
1006,Carrots,B8438,25-06-2025,0.64,3,26,40,Root,14,0
1006,Broccoli,B5334,24-06-2025,0.82,4,30.3,45,Leafy,6,0
1004,Mangoes,B9922,24-06-2025,0.51,4,28.7,90,Fruit,7,0
1006,Apples,B5352,25-06-2025,0.66,3,24,61,Fruit,10,0
1001,Spinach,B3718,23-06-2025,0.66,5,19.2,64,Leafy,5,0
1005,Carrots,B8195,24-06-2025,0.67,4,32.8,92,Root,14,0
1004,Carrots,B7594,19-06-2025,0.87,9,28.9,48,Root,14,0
1005,Beets,B9090,20-06-2025,0.99,8,30.2,65,Root,10,0
1001,Spinach,B8078,22-06-2025,0.3,6,30.8,62,Leafy,5,1
1005,Carrots,B1423,25-06-2025,0.61,3,27.8,64,Root,14,0
1002,Spinach,B5415,27-06-2025,0.62,1,27.1,66,Leafy,5,0
1002,Lettuce,B9502,22-06-2025,0.27,6,36,30,Leafy,4,0
1004,Carrots,B3973,14-06-2025,0.86,14,35,33,Root,14,0
1006,Lettuce,B2494,24-06-2025,0.65,4,28.5,43,Leafy,4,0
1003,Tomatoes,B6460,22-06-2025,0.58,6,25.6,91,Fruit,6,0
1006,Mangoes,B3634,22-06-2025,0.84,6,35.1,75,Fruit,7,0
1004,Lettuce,B5722,22-06-2025,0.19,6,27.9,72,Leafy,4,0
1004,Beets,B1601,20-06-2025,0.52,8,32.9,61,Root,10,0
1001,Bananas,B5135,22-06-2025,0.26,6,32.8,71,Fruit,5,1
1001,Tomatoes,B9431,27-06-2025,0.65,1,34.6,48,Fruit,6,0
1006,Beets,B8569,21-06-2025,0.79,7,32.4,60,Root,10,0
1001,Broccoli,B9494,22-06-2025,0.75,6,25,78,Leafy,6,0
1005,Lettuce,B8242,21-06-2025,0.28,7,27.9,80,Leafy,4,0
1001,Broccoli,B5375,19-06-2025,0.23,9,24.4,41,Leafy,6,0
1002,Carrots,B8178,12-06-2025,0.36,16,24.9,91,Root,14,0
1001,Spinach,B4920,25-06-2025,0.39,3,36.8,68,Leafy,5,0
1003,Beets,B1224,19-06-2025,0.69,9,27.8,70,Root,10,0
1004,Mangoes,B4681,26-06-2025,0.69,2,34.4,66,Fruit,7,0
1004,Mangoes,B3522,20-06-2025,0.32,8,28.5,64,Fruit,7,0
1006,Carrots,B9337,19-06-2025,0.75,9,23.2,44,Root,14,0
1004,Lettuce,B8736,26-06-2025,0.81,2,30.7,62,Leafy,4,0
1004,Beets,B3369,21-06-2025,0.7,7,31.4,56,Root,10,0
1002,Beets,B3236,26-06-2025,0.58,2,30.8,50,Root,10,0
1003,Tomatoes,B6568,19-06-2025,0.34,9,23.2,80,Fruit,6,0
1003,Spinach,B5634,23-06-2025,0.77,5,31,79,Leafy,5,0
1005,Lettuce,B3434,24-06-2025,0.95,4,34.1,37,Leafy,4,0
1005,Lettuce,B6654,25-06-2025,0.51,3,27.5,65,Leafy,4,0
1005,Beets,B7180,20-06-2025,0.78,8,27.1,67,Root,10,0
1003,Broccoli,B4912,21-06-2025,0.22,7,27.6,43,Leafy,6,0
1002,Tomatoes,B1715,22-06-2025,0.56,6,24.6,50,Fruit,6,0
1006,Lettuce,B7246,24-06-2025,0.86,4,26.2,100,Leafy,4,0
1006,Apples,B9115,27-06-2025,0.77,1,30.7,52,Fruit,10,0
1002,Beets,B6439,26-06-2025,0.81,2,27.7,66,Root,10,0
1004,Mangoes,B9617,20-06-2025,0.56,8,29.6,82,Fruit,7,0
1001,Apples,B7717,17-06-2025,0.23,11,29.9,91,Fruit,10,0
1002,Mangoes,B8692,23-06-2025,0.61,5,37.2,75,Fruit,7,0
1003,Tomatoes,B2315,22-06-2025,0.62,6,32.5,79,Fruit,6,0
1006,Beets,B7226,22-06-2025,0.79,6,23.7,54,Root,10,0
1006,Lettuce,B9864,27-06-2025,0.66,1,29.7,74,Leafy,4,0
1005,Mangoes,B4846,23-06-2025,0.73,5,24.7,70,Fruit,7,0
1002,Mangoes,B8110,26-06-2025,0.79,2,32.2,81,Fruit,7,0
1006,Mangoes,B8269,25-06-2025,0.83,3,31.8,63,Fruit,7,0
1006,Carrots,B1474,26-06-2025,0.45,2,31.7,68,Root,14,0
1003,Spinach,B5806,22-06-2025,0.33,6,24.9,48,Leafy,5,0
1003,Tomatoes,B3385,24-06-2025,0.86,4,29.8,75,Fruit,6,0
1005,Tomatoes,B3950,25-06-2025,0.7,3,30.1,79,Fruit,6,0
1002,Mangoes,B7267,18-06-2025,0.25,10,30.4,58,Fruit,7,0
1006,Broccoli,B9153,25-06-2025,0.63,3,28.8,68,Leafy,6,0
1002,Lettuce,B5161,24-06-2025,0.63,4,35,51,Leafy,4,0
1003,Spinach,B8622,23-06-2025,0.67,5,28.2,86,Leafy,5,0
1006,Beets,B3588,26-06-2025,0.73,2,34.1,42,Root,10,0
1004,Bananas,B5901,21-06-2025,0.33,7,33.6,66,Fruit,5,1
1006,Carrots,B8484,18-06-2025,0.86,10,27.9,86,Root,14,0
1002,Tomatoes,B8916,26-06-2025,0.99,2,28.5,58,Fruit,6,0
1002,Tomatoes,B6881,23-06-2025,0.92,5,36.3,57,Fruit,6,0
1006,Carrots,B1359,15-06-2025,0.64,13,28.9,44,Root,14,0
1003,Spinach,B1803,20-06-2025,0.21,8,26,53,Leafy,5,0
1003,Broccoli,B6772,24-06-2025,0.69,4,30.9,88,Leafy,6,0
1006,Broccoli,B5106,25-06-2025,0.55,3,33.9,61,Leafy,6,0
1006,Mangoes,B1645,23-06-2025,0.69,5,32.7,48,Fruit,7,0
1004,Spinach,B6977,25-06-2025,0.76,3,30.7,72,Leafy,5,0
